Id;ActivityHour;Date;Hour;TotalIntensity;AverageIntensity
1503960366;5/11/2016 6:00;5/11/2016 0:00;6:00:00 a. m.;0;0
1503960366;5/11/2016 7:00;5/11/2016 0:00;7:00:00 a. m.;5;0.083333
1503960366;5/11/2016 8:00;5/11/2016 0:00;8:00:00 a. m.;21;0.35
1503960366;5/11/2016 9:00;5/11/2016 0:00;9:00:00 a. m.;32;0.533333
1503960366;5/11/2016 10:00;5/11/2016 0:00;10:00:00 a. m.;19;0.316667
1503960366;5/11/2016 11:00;5/11/2016 0:00;11:00:00 a. m.;15;0.25
1503960366;5/11/2016 12:00;5/11/2016 0:00;12:00:00 p. m.;6;0.1
1503960366;5/11/2016 13:00;5/11/2016 0:00;1:00:00 p. m.;23;0.383333
1503960366;5/11/2016 14:00;5/11/2016 0:00;2:00:00 p. m.;52;0.866667
1503960366;5/11/2016 15:00;5/11/2016 0:00;3:00:00 p. m.;9;0.15
1503960366;5/11/2016 16:00;5/11/2016 0:00;4:00:00 p. m.;7;0.116667
1503960366;5/11/2016 17:00;5/11/2016 0:00;5:00:00 p. m.;7;0.116667
1503960366;5/11/2016 18:00;5/11/2016 0:00;6:00:00 p. m.;102;1.7
1503960366;5/11/2016 19:00;5/11/2016 0:00;7:00:00 p. m.;30;0.5
1503960366;5/11/2016 20:00;5/11/2016 0:00;8:00:00 p. m.;42;0.7
1624580081;4/12/2016 0:00;4/12/2016 0:00;12:00:00 a. m.;4;0.066667
1624580081;4/12/2016 1:00;4/12/2016 0:00;1:00:00 a. m.;1;0.016667
1624580081;4/12/2016 2:00;4/12/2016 0:00;2:00:00 a. m.;0;0
1624580081;4/12/2016 3:00;4/12/2016 0:00;3:00:00 a. m.;1;0.016667
1624580081;4/12/2016 4:00;4/12/2016 0:00;4:00:00 a. m.;0;0
1624580081;4/12/2016 5:00;4/12/2016 0:00;5:00:00 a. m.;0;0
1624580081;4/12/2016 6:00;4/12/2016 0:00;6:00:00 a. m.;0;0
1624580081;4/12/2016 7:00;4/12/2016 0:00;7:00:00 a. m.;0;0
1624580081;4/12/2016 8:00;4/12/2016 0:00;8:00:00 a. m.;1;0.016667
1624580081;4/12/2016 9:00;4/12/2016 0:00;9:00:00 a. m.;18;0.3
1624580081;4/12/2016 10:00;4/12/2016 0:00;10:00:00 a. m.;60;1
1624580081;4/12/2016 11:00;4/12/2016 0:00;11:00:00 a. m.;4;0.066667
1624580081;4/12/2016 12:00;4/12/2016 0:00;12:00:00 p. m.;5;0.083333
1624580081;4/12/2016 13:00;4/12/2016 0:00;1:00:00 p. m.;2;0.033333
1624580081;4/12/2016 14:00;4/12/2016 0:00;2:00:00 p. m.;3;0.05
1624580081;4/12/2016 15:00;4/12/2016 0:00;3:00:00 p. m.;2;0.033333
1624580081;4/12/2016 16:00;4/12/2016 0:00;4:00:00 p. m.;2;0.033333
1624580081;4/12/2016 17:00;4/12/2016 0:00;5:00:00 p. m.;6;0.1
1624580081;4/12/2016 18:00;4/12/2016 0:00;6:00:00 p. m.;7;0.116667
1624580081;4/12/2016 19:00;4/12/2016 0:00;7:00:00 p. m.;12;0.2
1624580081;4/12/2016 20:00;4/12/2016 0:00;8:00:00 p. m.;6;0.1
1624580081;4/12/2016 21:00;4/12/2016 0:00;9:00:00 p. m.;0;0
1624580081;4/12/2016 22:00;4/12/2016 0:00;10:00:00 p. m.;0;0
1624580081;4/12/2016 23:00;4/12/2016 0:00;11:00:00 p. m.;12;0.2
